Model,RMSE,MAE,MAPE,RMSPE
LightGBM,569.7056748275076,484.7718401402435,3.1904350027416233,3.775608511378517
HistGradientBoosting,652.2530672328774,561.767636481641,3.650487489586397,4.222718241673437
XGBoost,669.5918989486099,492.5877821180555,3.072157251959265,4.0489292785489
GradientBoosting,688.9045891036541,513.8242967743762,3.2156687421990022,4.17840567384147
CatBoost,737.9824542096256,553.6011465175812,3.463425135802938,4.469455906886912
Hybrid_0.5*Naive_Drift_Damped_0.8+0.5*LightGBM,812.3636047684043,647.9561283599847,4.08144991785293,4.937738903025373
Ensemble_ML,853.7060945702657,625.4022838457881,3.8720096933838244,5.07881937893218
Hybrid_0.6*Naive_Drift_Damped_0.8+0.4*LightGBM,879.8038070518214,680.5929860039328,4.259652900875189,5.287833767040724
RandomForest,881.6332056459031,657.0815809861865,4.076658001987419,5.251772827009765
ExtraTrees,934.7419942563987,678.7707961592978,4.191011404032991,5.539537085298625
Hybrid_0.7*Naive_Drift_Damped_0.8+0.3*LightGBM,950.713881394144,713.2298436478814,4.437855883897454,5.662097095851223
Hybrid_0.8*Naive_Drift_Damped_0.8+0.2*LightGBM,1024.3734975438572,745.8667012918295,4.6160588669197145,6.056049719034881
Hybrid_0.9*Naive_Drift_Damped_0.8+0.1*LightGBM,1100.230554696165,782.4192067476966,4.820227684238521,6.466093873242408
Ridge,1166.6145702538206,846.1746778616866,5.278845614302587,7.00156637021734
Naive_Drift_Damped_0.8,1177.8605678627257,819.540416579726,5.02816775073612,6.8893569262543215
Naive_Drift_Damped_0.7,1190.2956561027809,820.3775426990097,5.02311764528646,6.947908127061118
Naive_Last,1209.066059688144,813.5347222222222,4.958146847014608,7.029701737877324
