Model,RMSE,MAE,MAPE,RMSPE
Naive_Drift_Damped_0.7,438.5985093406422,326.5041666666668,2.0964279639771055,2.8243237500344196
Hybrid_Naive_Drift_Damped_0.3*0.95+LightGBM*0.05,443.81563671185967,330.9136520415077,2.1255315963537242,2.8023499181542597
Naive_Drift_Damped_0.5,445.29242726040457,332.6458333333332,2.1301622520633234,2.84639514960842
Naive_Drift_Damped_0.8,446.0039213101988,326.1000000000001,2.097690309815474,2.8709367941922252
Hybrid_Naive_Drift_Damped_0.5*0.80+XGBoost*0.20,457.9148715874949,356.5475043402777,2.2807576370305016,2.886734814206113
Naive_Drift_Damped_0.9,460.227992047802,325.7791666666665,2.0995192022126385,2.954057214952417
Hybrid_Naive_Drift_Damped_0.3*0.95+Ridge*0.05,462.5837114167547,355.5141096522123,2.2966804280792177,2.9659697771260944
Hybrid_Naive_Last*0.85+LightGBM*0.15,469.5436449316088,374.02721027171765,2.3758050558063197,2.914620310145318
Hybrid_Naive_Drift_Damped_0.3*0.90+CatBoost*0.10,473.0679187108523,359.5826140451565,2.303986932403311,2.9836342115833325
Hybrid_Naive_Drift_Damped_0.5*0.75+XGBoost*0.25,473.1544956722751,375.54898410373227,2.393458598490098,2.9675415274932124
Hybrid_Naive_Drift_Damped_0.3*0.95+CatBoost*0.05,473.46360760685354,345.83541548806215,2.215690988279829,2.982323910924199
Naive_Drift_Damped_0.3,479.1240808008304,343.5208333333333,2.1958181299346347,3.0169415203695973
Naive_Drift,480.66576008351853,325.76388888888914,2.103091735077481,3.070721821315891
Hybrid_Naive_Drift_Damped_0.3*0.95+XGBoost*0.05,481.1575201186907,348.99280910915695,2.2284902818205046,3.019327993986373
Hybrid_Naive_Drift_Damped_0.3*0.90+XGBoost*0.10,487.0467551925528,362.3106182183148,2.3052005642257614,3.044655320024104
Hybrid_Naive_Drift_Damped_0.5*0.70+XGBoost*0.30,492.54431634380956,394.55050455729116,2.506159910457683,3.073347834833903
Hybrid_Naive_Drift_Damped_0.7*0.60+XGBoost*0.40,496.2650251649952,411.6730164930559,2.621705678743483,3.1056250933541003
Hybrid_Naive_Drift_Damped_0.3*0.85+XGBoost*0.15,496.6546506269657,375.6284374999991,2.3819109375581164,3.0923599932411303
Hybrid_Naive_Last*0.90+LightGBM*0.10,498.40552429779245,386.0181401811454,2.4430635851039026,3.077363893470979
Hybrid_Naive_Drift_Damped_0.3*0.80+XGBoost*0.20,509.770959880158,391.7875043402776,2.4779376556774273,3.161428828289217
Hybrid_Naive_Drift_Damped_0.5*0.65+XGBoost*0.35,515.6163260085783,417.8037217881947,2.647996289115341,3.2016756689608385
Hybrid_Naive_Drift_Damped_0.3*0.75+XGBoost*0.25,526.1334094115161,408.58648410373235,2.5783148659715924,3.250500712282879
Hybrid_Naive_Drift_Damped_0.7*0.55+XGBoost*0.45,526.8174791311022,442.8414778645835,2.815012962274681,3.2774504313136874
Hybrid_Naive_Last*0.95+LightGBM*0.05,531.9055741361103,398.00907009057255,2.5103221144014825,3.274021751145136
Hybrid_Naive_Last*0.95+Ridge*0.05,539.1874637388768,409.5219893777283,2.606567727891384,3.3732565909496297
Hybrid_Naive_Drift_Damped_0.5*0.60+XGBoost*0.40,541.9003877339745,446.10301649305575,2.8244114972239833,3.3499380051870413
Hybrid_Naive_Drift_Damped_0.3*0.70+XGBoost*0.30,545.4498907170931,429.6727604166669,2.708071278684767,3.357984055697554
Hybrid_Naive_Drift_Damped_0.7*0.50+XGBoost*0.50,560.573873359314,474.01006130642344,3.008321165025944,3.4692725795002293
Hybrid_Naive_Last*0.90+CatBoost*0.10,564.0307668986798,422.88833097612434,2.6628225569998376,3.4733921579995295
Hybrid_Naive_Last*0.95+CatBoost*0.05,564.6454090344056,416.444165488062,2.62020160034945,3.4720162307329736
Hybrid_Naive_Last*0.85+CatBoost*0.15,567.3944466852225,433.2418377344026,2.732021399775836,3.5029745024832386
Hybrid_Naive_Drift_Damped_0.3*0.65+XGBoost*0.35,567.4188197639095,455.1028884548614,2.867594259135884,3.4821740906943948
Naive_Last,569.2254860204216,410.0,2.5775806436990636,3.49887999718616
Hybrid_Naive_Drift_Damped_0.5*0.55+XGBoost*0.45,570.9531320248556,474.4023111979168,3.0008266292151404,3.5156138814294975
Hybrid_Naive_Last*0.95+XGBoost*0.05,574.6245838925742,419.6015591091568,2.633000893890125,3.522107704423459
Hybrid_Naive_Last*0.90+XGBoost*0.10,582.3888716160508,429.203118218315,2.688421144081193,3.560242351585948
Hybrid_Naive_Drift_Damped_0.3*0.60+XGBoost*0.40,591.7448011463928,480.53301649305587,3.0271173157044857,3.6213524666911314
Hybrid_Naive_Last*0.85+XGBoost*0.15,592.4253633812672,438.80468749999926,2.743841485199357,3.612811988481943
Hybrid_Naive_Drift_Damped_0.5*0.50+XGBoost*0.50,602.374125329051,502.70172797309016,3.177242680426362,3.696363149350526
Hybrid_Naive_Last*0.80+XGBoost*0.20,604.6209136220263,451.43107367621514,2.8199896458309976,3.6791977201303956
Hybrid_Naive_Drift_Damped_0.3*0.55+XGBoost*0.45,618.1496986398195,505.9631445312498,3.1866402961555984,3.7738615035758123
Hybrid_Naive_Last*0.75+XGBoost*0.25,618.8479206696652,468.79878065321236,2.9286208977665735,3.758667900842171
Hybrid_Naive_Last*0.70+XGBoost*0.30,634.9697816066297,489.9252604166668,3.0628064610256436,3.8504121457745906
Hybrid_Naive_Drift_Damped_0.3*0.50+XGBoost*0.50,646.3788112638377,531.3933946397573,3.346164195826782,3.9381532924212572
Hybrid_Naive_Last*0.65+XGBoost*0.35,652.8462050400428,511.0516384548616,3.196991214166699,3.9535760997682177
Hybrid_Naive_Last*0.60+XGBoost*0.40,672.337173360667,532.1780164930556,3.331176043425235,4.067290753166554
Hybrid_Naive_Last*0.55+XGBoost*0.45,693.306612867872,553.3043945312503,3.4653607965662907,4.190697617539144
Hybrid_Naive_Last*0.50+XGBoost*0.50,715.6245726467121,574.430894639757,3.599546468927407,4.322967131143271
