Model,RMSE,MAE,MAPE,RMSPE
LightGBM_Reg,1034.1068315873008,781.7912535066757,4.865643879944151,6.1638496438276285
XGBoost_Reg,1040.3258170392837,727.3919813368055,4.459250782110368,6.104976244726518
CatBoost_Reg,1052.1174984784118,875.5802613001924,5.520026163583839,6.3877150727703285
Ridge_Strong,1059.4089172211534,1011.2797168988999,6.625903721129034,6.967421002346515
H_Naive_Damp_0.6+Ridge_St_0.4,1061.434943680095,866.8209972738828,5.461222540850128,6.435925998758467
H_Naive_Damp_0.6+Ridge_St_0.4,1061.9122881976512,863.2895324433671,5.4349000397275695,6.43081604397339
H_Naive_Last_0.6+Ridge_St_0.4,1062.0741666574017,860.0660534262269,5.411292597202935,6.425469259005749
H_Naive_Damp_0.7+Ridge_St_0.3,1087.2818901807964,846.3044426760199,5.290434763820831,6.510172234348014
H_Naive_Damp_0.7+Ridge_St_0.3,1088.5649690856287,843.9782746020518,5.271479296650602,6.509349563601087
H_Naive_Last_0.7+Ridge_St_0.3,1089.3604131655513,841.5675225100041,5.252782798082569,6.5074187792889635
Best_Hybrid,1105.5528948994577,834.8953891287069,5.190414206768413,6.566550720851419
H_Naive_Damp_0.8+Ridge_St_0.2,1119.545889265333,833.636878794285,5.17107643344084,6.630037633679418
H_Naive_Damp_0.8+Ridge_St_0.2,1121.7899949243938,830.9784009954641,5.149413042389147,6.634800816041338
H_Naive_Last_0.8+Ridge_St_0.2,1123.3495306763407,828.2232557474102,5.1280456154542575,6.6373781756625965
H_Naive_Last_0.8+ElasticN_0.2,1125.6617578604507,953.2685854716315,6.04032828631355,6.881676829721893
H_Naive_Damp_0.8+ElasticN_0.2,1126.2409194587624,957.5665574944848,6.071804876346394,6.894288176987078
H_Naive_Damp_0.8+ElasticN_0.2,1126.6159556777588,962.275177268506,6.106901544509808,6.908054085740299
H_Naive_Damp_0.6+XGBoost__0.4,1132.2190095152819,781.7878594292533,4.7819094071293815,6.613183167168904
H_Naive_Damp_0.6+XGBoost__0.4,1134.9914258453787,780.3340010801377,4.769242765697377,6.625055119536727
H_Naive_Last_0.6+XGBoost__0.4,1137.0388761215615,779.077642144097,4.758588548281353,6.63368647643466
H_Naive_Damp_0.9+ElasticN_0.1,1143.8622237430598,867.9644587559451,5.406117463922084,6.806574959431272
H_Naive_Damp_0.9+ElasticN_0.1,1145.7939918461368,864.9736712322715,5.3817461489889284,6.807567754155539
H_Naive_Last_0.9+ElasticN_0.1,1147.079520799608,861.8741328282108,5.357707793687178,6.8070031266294935
H_Naive_Last_0.7+ElasticN_0.3,1147.0874573914057,1050.2744059852241,6.7597165055108865,7.2445330968860775
H_Naive_Damp_0.7+XGBoost__0.3,1148.9350724118333,790.8539340549042,4.8356864961949695,6.705965787086033
H_Naive_Damp_0.7+ElasticN_0.3,1149.0798732573026,1054.035131505222,6.787258521789632,7.265074980761101
H_Naive_Damp_0.7+ElasticN_0.3,1151.2181862461243,1058.1551738074897,6.817968106432616,7.288643912346158
H_Naive_Damp_0.7+XGBoost__0.3,1152.1530511689027,789.157765980936,4.820908747857629,6.719696003999129
Naive_Damped_0.9,1153.7222240418464,813.66723724356,5.007739622696975,6.772104494079071
H_Naive_Last_0.7+XGBoost__0.3,1154.538264778516,787.6920138888886,4.808478827538934,6.729744781680366
H_Naive_Damp_0.9+Ridge_St_0.1,1157.6905493405866,820.9693149125505,5.051718103060852,6.79310775498843
H_Naive_Damp_0.9+Ridge_St_0.1,1161.0232599743201,817.978527388877,5.027346788127696,6.804575326469167
H_Naive_Last_0.9+Ridge_St_0.1,1163.454214989408,814.8789889848163,5.003308432825945,6.812600445614467
H_Naive_Damp_0.8+XGBoost__0.2,1166.0066318750362,799.9198052300349,4.88946217611202,6.800812159705242
H_Naive_Damp_0.8+XGBoost__0.2,1169.6649016568672,797.9813274312137,4.872573320869344,6.81636538137647
H_Naive_Last_0.8+XGBoost__0.2,1172.3861928286242,796.3061821831599,4.858367697647983,6.8278228355115935
H_Naive_Damp_0.9+XGBoost__0.1,1183.4184764302229,808.9857781304254,4.943238560603338,6.897638524085403
Naive_MA_8,1186.8356682188487,829.5347222222222,5.092443850478587,6.944642844522256
H_Naive_Damp_0.9+XGBoost__0.1,1187.5116520179292,806.8049906067519,4.92423859845533,6.914979514671196
Naive_MA_4,1189.9760022770922,825.3263888888888,5.060089514664724,6.955232135236297
Naive_Damped_0.7,1190.2956561027809,820.3775426990097,5.02311764528646,6.947908127061118
H_Naive_Last_0.9+XGBoost__0.1,1190.5671503042593,804.9204522026911,4.908257272331296,6.927836164179584
Naive_Damped_0.5,1201.1557510580947,818.0517510308159,4.997014945094655,6.996362223435224
Naive_Damped_0.3,1205.678375184351,815.6286537822897,4.97590387604131,7.015455954982844
Naive_Last,1209.066059688144,813.5347222222222,4.958146847014608,7.029701737877324
H_Naive_Last_0.6+ElasticN_0.4,1209.0811190418362,1147.2802264988175,7.479104724708228,7.855739492586533
H_Naive_Damp_0.6+ElasticN_0.4,1211.9165446250006,1150.503705515958,7.502712167232866,7.8799298063897405
H_Naive_Damp_0.6+ElasticN_0.4,1215.1297005565837,1154.0351703464737,7.529034668355424,7.908148908989972
ElasticNet,2093.5854526938433,1877.2956420590608,12.698098119060761,14.257086976797293
