iter	RMSE
0	3.475848765
1	3.396251264
2	3.374981584
3	3.316193444
4	3.281876346
5	3.261005011
6	3.217916079
7	3.147918932
8	3.099770215
9	3.054857638
10	3.026626645
11	2.978609035
12	2.93039358
13	2.896739186
14	2.86260081
15	2.82211284
16	2.790880746
17	2.763616476
18	2.736785281
19	2.695940803
20	2.651469297
21	2.620174416
22	2.599753918
23	2.569834809
24	2.549474942
25	2.51086417
26	2.500722695
27	2.456070367
28	2.435740855
29	2.392230897
30	2.362441406
31	2.336397058
32	2.325227685
33	2.315968443
34	2.287312329
35	2.24071642
36	2.19134978
37	2.165570218
38	2.125464359
39	2.076616281
40	2.058165026
41	2.013466271
42	1.978670855
43	1.925049718
44	1.888182164
45	1.881676158
46	1.844261418
47	1.826724156
48	1.789993705
49	1.765867238
50	1.760612007
51	1.728321821
52	1.723477083
53	1.702500412
54	1.693245
55	1.675496117
56	1.631663732
57	1.630061853
58	1.598396153
59	1.577320483
60	1.571260275
61	1.547221455
62	1.519356259
63	1.502573224
64	1.463022077
65	1.440479905
66	1.415463622
67	1.397444758
68	1.375586103
69	1.346173083
70	1.326692406
71	1.304889077
72	1.296431232
73	1.289501885
74	1.276447879
75	1.254757141
76	1.240573089
77	1.231844008
78	1.230596797
79	1.226242884
80	1.214203191
81	1.213077693
82	1.184490059
83	1.165875932
84	1.151898496
85	1.135979279
86	1.118722274
87	1.11010173
88	1.087447246
89	1.080293628
90	1.079303232
91	1.066701807
92	1.047674026
93	1.038017364
94	1.037003112
95	1.020716859
96	1.004593383
97	0.995672305
98	0.9858341424
99	0.9743582746
