iter	Passed	Remaining
0	0	90
1	1	97
2	2	96
3	4	97
4	4	94
5	6	95
6	7	94
7	8	92
8	8	90
9	9	89
10	10	88
11	11	87
12	12	86
13	13	85
14	14	84
15	15	83
16	17	85
17	18	84
18	19	82
19	20	81
20	21	80
21	22	78
22	23	77
23	24	76
24	24	74
25	25	73
26	26	72
27	28	72
28	29	71
29	30	70
30	31	69
31	32	68
32	32	66
33	33	65
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	59
40	40	58
41	41	57
42	42	56
43	43	54
44	44	53
45	45	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	55	41
57	56	40
58	57	39
59	58	38
60	59	37
61	60	36
62	61	35
63	62	34
64	63	34
65	64	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	69	27
72	70	26
73	71	25
74	72	24
75	73	23
76	74	22
77	75	21
78	77	20
79	78	19
80	79	18
81	80	17
82	80	16
83	82	15
84	83	14
85	84	13
86	85	12
87	86	11
88	87	10
89	88	9
90	89	8
91	90	7
92	91	6
93	92	5
94	93	4
95	94	3
96	95	2
97	95	1
98	96	0
99	97	0
