,total_gain,avg_gain
Com_LME_Index_log_ret,4.027952282165643,0.8055904564331285
Com_LME_Index_diff,2.6820258432417177,0.5364051686483435
Com_LME_Pb_Cash_diff,0.2651230489136651,0.053024609782733025
Com_Iron_Ore_log_ret,0.20207069220487028,0.04041413844097406
Com_LME_Ni_Inv_log_ret,0.18295151359052397,0.036590302718104796
EX_USD_BRL_log_ret,0.17414081312017515,0.03482816262403503
Com_Gold_diff,0.17363180904067121,0.034726361808134244
Com_LME_Sn_Cash_log_ret,0.1598591195361223,0.03197182390722446
Com_LME_Sn_Cash_diff,0.14625621540471911,0.029251243080943824
Com_Steel_log_ret,0.13112608433584683,0.026225216867169367
Com_Uranium_log_ret,0.1308846580068348,0.02617693160136696
Com_LME_Pb_Cash_log_ret,0.12589595865574665,0.025179191731149332
Com_LME_Al_Cash_diff,0.11730458892998286,0.02346091778599657
Com_Silver_log_ret,0.11566440810565837,0.023132881621131675
Com_Gold_log_ret,0.1075566516519757,0.02151133033039514
Com_LME_Ni_Inv_diff,0.10702529232366942,0.021405058464733884
Idx_DxyUSD_log_ret,0.104431341169402,0.0208862682338804
Idx_CSI300_log_ret,0.10044006136013195,0.02008801227202639
Com_Iron_Ore_diff,0.09598549420479685,0.01919709884095937
Spread_US_10Y_3M,0.09592664372758009,0.01918532874551602
Com_LME_Al_Cash_log_ret,0.09407300502061844,0.018814601004123688
Com_LME_Zn_Cash_diff,0.08786276518367231,0.01757255303673446
Bonds_KOR_10Y_log_ret,0.08744579323683865,0.01748915864736773
Idx_Shanghai_log_ret,0.08203847834374756,0.01640769566874951
Com_LME_Sn_Inv_log_ret,0.08194646963966079,0.016389293927932157
Spread_US_10Y_2Y,0.08126758169964887,0.016253516339929774
Com_LME_Pb_Inv_diff,0.07936026316019706,0.01587205263203941
Com_LME_Al_Inv_diff,0.078968116780743,0.0157936233561486
Bonds_IND_1Y_log_ret,0.07611844170605764,0.015223688341211527
Com_LME_Pb_Inv_log_ret,0.07423620487679727,0.014847240975359454
Bonds_AUS_1Y_log_ret,0.0741476958792191,0.01482953917584382
Bonds_US_2Y_diff,0.0719624669291079,0.01439249338582158
Com_LME_Cu_Inv_log_ret,0.0718895228637848,0.01437790457275696
Com_LME_Cu_Cash_diff,0.07041589432628825,0.01408317886525765
EX_AUD_USD_diff,0.06906518699543085,0.01381303739908617
Bonds_KOR_1Y_log_ret,0.0673317288456019,0.01346634576912038
Idx_DxyUSD_diff,0.0671889148070477,0.01343778296140954
