Model,RMSE,MAE,MAPE,RMSPE
Hybrid_Naive_Drift_Damped_0.9*0.650+LightGBM*0.350,297.1384452327398,245.12617434032123,1.636411760265088,2.013154112855088
Hybrid_Naive_Drift_Damped_0.9*0.625+LightGBM*0.375,297.5971247944876,242.97933361859836,1.6256484963960853,2.0206400855276403
Hybrid_Naive_Drift_Damped_0.8*0.650+LightGBM*0.350,298.0674502715034,236.75832711809926,1.5841568670184552,2.01274130668945
Hybrid_Naive_Drift_Damped_0.8*0.675+LightGBM*0.325,298.56809319772657,238.6717979999662,1.5934499868537555,2.01151266253775
Hybrid_Naive_Drift_Damped_0.9*0.675+LightGBM*0.325,298.7159221150973,247.27301506204472,1.647175024134095,2.0177041283711175
Hybrid_Naive_Drift_Damped_0.8*0.625+LightGBM*0.375,299.5148879344118,241.76857856225539,1.6137692121248441,2.0255589885265084
Hybrid_Naive_Drift*0.625+LightGBM*0.375,299.82541818799393,251.0253405630427,1.67589358605631,2.036790162739293
Hybrid_Naive_Drift_Damped_0.9*0.600+LightGBM*0.400,300.0826240836357,243.6231504664065,1.6305490042464978,2.0400295510245003
Hybrid_Naive_Drift*0.650+LightGBM*0.350,300.6937458709288,253.49402156254382,1.6886666535117252,2.0363823835386667
Hybrid_Naive_Drift_Damped_0.8*0.700+LightGBM*0.300,301.00709657328156,245.19191610253287,1.6308431278599278,2.0218941831084516
Hybrid_Naive_Drift*0.600+LightGBM*0.400,301.0707106933904,248.55665956354218,1.6631205186008986,2.0495623701997605
Hybrid_Naive_Drift_Damped_0.9*0.700+LightGBM*0.300,302.2976813592423,249.41985578376762,1.6579382880030986,2.034209369229872
Hybrid_Naive_Drift_Damped_0.8*0.600+LightGBM*0.400,302.8824785700731,247.20148379973912,1.64575388431547,2.0497483105467955
Hybrid_Naive_Drift_Damped_0.7*0.675+LightGBM*0.325,303.22108688585547,245.7793635252101,1.6330950364360424,2.0299957561324242
Hybrid_Naive_Drift_Damped_0.7*0.650+LightGBM*0.350,303.4395765782141,245.96944277073862,1.6333750090460606,2.035157848578924
Hybrid_Naive_Drift*0.675+LightGBM*0.325,303.65756219840506,255.96270256204434,1.7014397209671364,2.0483464170408383
Hybrid_Naive_Drift*0.575+LightGBM*0.425,304.4036845101313,246.08797856404135,1.6503474511454859,2.074470640647519
Hybrid_Naive_Drift_Damped_0.9*0.575+LightGBM*0.425,304.5453224205768,249.20515292611208,1.6631672131066613,2.070988199759122
Hybrid_Naive_Drift_Damped_0.7*0.700+LightGBM*0.300,304.8491304099098,247.3414994358659,1.642650128690103,2.0359932841636423
Hybrid_Naive_Drift_Damped_0.8*0.725+LightGBM*0.275,305.33801375951674,251.71203420509968,1.668236268866101,2.043708946026369
Hybrid_Naive_Drift_Damped_0.7*0.625+LightGBM*0.375,305.5006376701328,246.1595220162676,1.6336549816560817,2.051395317658131
Hybrid_Naive_Drift_Damped_0.9*0.725+LightGBM*0.275,307.81376467863385,251.5666965054902,1.6687015518720993,2.0623828225515255
Hybrid_Naive_Drift_Damped_0.8*0.575+LightGBM*0.425,308.1072672017286,252.63438903722258,1.6777385565060932,2.084913506460321
Hybrid_Naive_Drift_Damped_0.7*0.725+LightGBM*0.275,308.29445498140643,253.9383883717666,1.6804649482973573,2.0530526340948563
Hybrid_Naive_Drift*0.700+LightGBM*0.300,308.65650846008265,258.4313835615458,1.7142127884225533,2.0724680127046207
Hybrid_Naive_Drift_Damped_0.7*0.600+LightGBM*0.400,309.3674457355116,250.7798171330728,1.6609587643844483,2.078448607001762
Hybrid_Naive_Drift*0.550+LightGBM*0.450,309.75695683772216,251.50701649692897,1.6818476152369317,2.1110854449170326
Hybrid_Naive_Drift_Damped_0.9*0.550+LightGBM*0.450,310.90008858143574,254.7871553858181,1.6957854219668285,2.1130075765851206
Hybrid_Naive_Drift_Damped_0.8*0.750+LightGBM*0.250,311.4819379243621,258.23215230766635,1.705629409872273,2.07659666201479
Hybrid_Naive_Drift_Damped_0.6*0.675+LightGBM*0.325,312.4605029353492,260.56748852520906,1.7158505455757773,2.072493349746541
Hybrid_Naive_Drift_Damped_0.6*0.650+LightGBM*0.350,313.0261503503535,260.4641978445714,1.7147807569978204,2.079665642607166
Hybrid_Naive_Drift_Damped_0.7*0.750+LightGBM*0.250,313.4971507271662,260.53527730766655,1.7182797679046062,2.08090176739046
Hybrid_Naive_Drift_Damped_0.6*0.700+LightGBM*0.300,313.63521570094366,260.9251176130136,1.7186355918227845,2.075968558113914
Hybrid_Naive_Drift_Damped_0.7*0.575+LightGBM*0.425,314.97350241907145,256.06362514833455,1.692309899905535,2.115902893931092
