Model,RMSE,MAE,MAPE,R2,DA%
Hybrid (Naive+GB),1.396134319608467,1.1874498743006245,1.9022574455427326,-0.05959713876478867,45.45454545454545
Naive Drift,1.5124717605054783,1.2740023809523862,2.0383039116712793,-0.24354332364530817,45.45454545454545
Ensemble: Naive+GB+itrans,1.6167084945356391,1.2887982833726277,2.0686780780100307,-0.4208551681449626,45.45454545454545
Ensemble: Naive(0.6)+Transformers,1.7836113052250826,1.4461684755379807,2.325755495610077,-0.7293655516321662,36.36363636363637
GradientBoosting,2.154694939010463,1.826623587233288,2.92142230694054,-1.5238175387251003,45.45454545454545
Ensemble: Stacking (Ridge),2.334524201617752,2.104955363146546,3.387543304365686,-1.962668991413497,63.63636363636363
LSTM (Baseline),2.7589781572176943,2.241389046223958,3.6308404380270063,-3.137927672391898,54.54545454545454
Ensemble: Inverse-RMSE Weighted,2.8979751839370707,2.6677075733320437,4.290603652445387,-3.565366999947968,27.27272727272727
iTransformer,3.803466322136426,3.482364238048735,5.602650158895281,-6.864036511291824,45.45454545454545
PatchTST,3.8497438312279644,3.418763890438987,5.504063946033135,-7.056567209021777,18.181818181818183
Ensemble: 3-Transformer (equal),3.8963759734473364,3.5639084783644903,5.737565225233347,-7.252928531062766,36.36363636363637
TFT-Lite,4.162308952608565,3.842955490693592,6.187115443194599,-8.417920002576846,36.36363636363637
