Setting,SettingKey,Target,TargetColumn,EvalSplit,Baseline,ResidualModel,RMSE,MAE,MAPE,NRMSE,NumDates
Multivariate+Exogenous,exogenous,Brent Oil,Com_BrentCrudeOil,holdout,PatchTST,-,3.630940484938068,2.884706179300944,4.668718861960697,0.03725722825874295,12
Multivariate+Exogenous,exogenous,Brent Oil,Com_BrentCrudeOil,holdout,PatchTST,NLinear,5.99356982365631,5.381022771199544,8.655353076709261,0.06150026416874351,12
Multivariate+Exogenous,exogenous,Brent Oil,Com_BrentCrudeOil,holdout,PatchTST,XGBoost,7.401829656243467,6.768199284871419,10.86846155003918,0.07595047569051505,12
Multivariate+Exogenous,exogenous,Brent Oil,Com_BrentCrudeOil,holdout,PatchTST,LightGBM,7.877469406642064,7.40592892964681,11.894628904734974,0.08083103454931284,12
Multivariate+Exogenous,exogenous,Brent Oil,Com_BrentCrudeOil,holdout,PatchTST,iTransformer,9.63698028060493,9.329258600870768,14.957083407083749,0.09888544731837616,12
Multivariate+Exogenous,exogenous,WTI Oil,Com_CrudeOil,holdout,PatchTST,iTransformer,4.461788388365629,3.7186498641967773,6.328451597895636,0.04454838918504281,12
Multivariate+Exogenous,exogenous,WTI Oil,Com_CrudeOil,holdout,PatchTST,NLinear,5.33278953380845,3.7630914052327475,6.4420752223746005,0.05324483433895969,12
Multivariate+Exogenous,exogenous,WTI Oil,Com_CrudeOil,holdout,PatchTST,LightGBM,6.26512954358825,5.875763575236003,9.970260657991782,0.06255371275120356,12
Multivariate+Exogenous,exogenous,WTI Oil,Com_CrudeOil,holdout,PatchTST,XGBoost,6.562123769026329,6.189306577046712,10.498344144709774,0.06551902916446634,12
Multivariate+Exogenous,exogenous,WTI Oil,Com_CrudeOil,holdout,PatchTST,-,9.441852574866056,8.983225504557291,15.213565322059244,0.09427146393354754,12
Multivariate+Exogenous,exogenous,Brent Oil,Com_BrentCrudeOil,tscv,PatchTST,iTransformer,7.0081476244192045,5.700522502263388,7.5349114985372525,0.07191088832137853,104
Multivariate+Exogenous,exogenous,Brent Oil,Com_BrentCrudeOil,tscv,PatchTST,XGBoost,7.122884944961568,6.053659451313508,8.181081019243827,0.07308821264243974,104
Multivariate+Exogenous,exogenous,Brent Oil,Com_BrentCrudeOil,tscv,PatchTST,LightGBM,7.192249853137871,6.03829933435489,8.105606756419842,0.07379996879151234,104
Multivariate+Exogenous,exogenous,Brent Oil,Com_BrentCrudeOil,tscv,PatchTST,-,8.509994282889894,7.062022802157279,9.116163300184173,0.0873213980767394,104
Multivariate+Exogenous,exogenous,Brent Oil,Com_BrentCrudeOil,tscv,PatchTST,NLinear,8.657793205877276,7.34394980699588,9.84224059950274,0.08883796884758507,104
Multivariate+Exogenous,exogenous,WTI Oil,Com_CrudeOil,tscv,PatchTST,iTransformer,5.192545250418884,4.075953086217245,5.78129941305217,0.051844575883469746,104
Multivariate+Exogenous,exogenous,WTI Oil,Com_CrudeOil,tscv,PatchTST,LightGBM,6.310616149362215,5.151625834978544,7.432717038641126,0.06300787033115715,104
