Setting,SettingKey,Target,TargetColumn,EvalSplit,Baseline,ResidualModel,RMSE,MAE,MAPE,NRMSE,NumDates
Multivariate+Exogenous,exogenous,Brent Oil,Com_BrentCrudeOil,tscv,PatchTST,iTransformer,7.0081476244192045,5.700522502263388,7.5349114985372525,0.07191088832137853,104
Multivariate+Exogenous,exogenous,Brent Oil,Com_BrentCrudeOil,tscv,PatchTST,XGBoost,7.122884944961568,6.053659451313508,8.181081019243827,0.07308821264243974,104
Multivariate+Exogenous,exogenous,Brent Oil,Com_BrentCrudeOil,tscv,PatchTST,LightGBM,7.192249853137871,6.03829933435489,8.105606756419842,0.07379996879151234,104
Multivariate+Exogenous,exogenous,Brent Oil,Com_BrentCrudeOil,tscv,PatchTST,-,8.509994282889894,7.062022802157279,9.116163300184173,0.0873213980767394,104
Multivariate+Exogenous,exogenous,Brent Oil,Com_BrentCrudeOil,tscv,PatchTST,NLinear,8.657793205877276,7.34394980699588,9.84224059950274,0.08883796884758507,104
Multivariate+Exogenous,exogenous,WTI Oil,Com_CrudeOil,tscv,PatchTST,iTransformer,5.192545250418884,4.075953086217245,5.78129941305217,0.051844575883469746,104
Multivariate+Exogenous,exogenous,WTI Oil,Com_CrudeOil,tscv,PatchTST,LightGBM,6.310616149362215,5.151625834978544,7.432717038641126,0.06300787033115715,104
Multivariate+Exogenous,exogenous,WTI Oil,Com_CrudeOil,tscv,PatchTST,XGBoost,6.427606682078047,5.164246559143066,7.462094282914021,0.06417595346929528,104
Multivariate+Exogenous,exogenous,WTI Oil,Com_CrudeOil,tscv,PatchTST,-,8.568626634460015,7.446514582022642,10.079405256629679,0.08555280548234906,104
Multivariate+Exogenous,exogenous,WTI Oil,Com_CrudeOil,tscv,PatchTST,NLinear,9.398570185689218,7.120499256329659,9.911874929482668,0.0938393141877335,104
Univariate,univariate,Brent Oil,Com_BrentCrudeOil,tscv,PatchTST,iTransformer,5.4244881446077144,4.321029736445501,5.692783714449815,0.055660893872773516,104
Univariate,univariate,Brent Oil,Com_BrentCrudeOil,tscv,PatchTST,NLinear,5.800966942081471,4.55826849815173,6.086393107225225,0.05952395815329313,104
Univariate,univariate,Brent Oil,Com_BrentCrudeOil,tscv,PatchTST,XGBoost,5.818034041444026,4.868618219326703,6.496412403532151,0.05969908435525185,104
Univariate,univariate,Brent Oil,Com_BrentCrudeOil,tscv,PatchTST,LightGBM,6.0323277016080805,5.013854882656001,6.751882502894503,0.06189796033359768,104
Univariate,univariate,Brent Oil,Com_BrentCrudeOil,tscv,PatchTST,-,6.172210599019411,4.815054257710775,6.263044525865616,0.06333330444346874,104
Univariate,univariate,WTI Oil,Com_CrudeOil,tscv,PatchTST,iTransformer,6.055567049721102,4.775635627599863,6.566434057876605,0.06046135185848951,104
Univariate,univariate,WTI Oil,Com_CrudeOil,tscv,PatchTST,LightGBM,6.523173121268468,5.290248302312998,7.458269864487936,0.06513012936369333,104
Univariate,univariate,WTI Oil,Com_CrudeOil,tscv,PatchTST,XGBoost,6.8709674526259334,5.6507720947265625,8.026211393923347,0.06860265559780716,104
Univariate,univariate,WTI Oil,Com_CrudeOil,tscv,PatchTST,NLinear,7.876551631041335,6.421662361193925,9.145606748248508,0.0786428348799941,104
Univariate,univariate,WTI Oil,Com_CrudeOil,tscv,PatchTST,-,8.075426582216085,6.349479143436138,8.72043167676686,0.08062848680987741,104
