Target,TargetColumn,EvalSplit,Baseline,ResidualModel,RMSE,MAE,MAPE,NRMSE,NumForecastPoints,NumWindows
Brent Oil,Com_BrentCrudeOil,holdout,PatchTST,XGBoost,3.6761909309992533,2.955047925313314,4.704513325210171,0.8355106877448104,12,1
Brent Oil,Com_BrentCrudeOil,holdout,PatchTST,LightGBM,3.850499401435685,2.82750670115153,4.474557538585057,0.8751268537023555,12,1
Brent Oil,Com_BrentCrudeOil,holdout,PatchTST,NLinear,4.569402836382391,3.0413783391316733,4.8202864528403335,1.0385164911364377,12,1
Brent Oil,Com_BrentCrudeOil,holdout,PatchTST,-,6.724955449815582,6.218650182088216,9.951316397982723,1.5284222877404647,12,1
WTI Oil,Com_CrudeOil,holdout,PatchTST,-,4.361425526620685,3.7024269104003906,6.322045837466192,0.969846126457183,12,1
WTI Oil,Com_CrudeOil,holdout,PatchTST,LightGBM,5.111752572907052,4.086656888326009,6.982781327722333,1.1366956519105567,12,1
WTI Oil,Com_CrudeOil,holdout,PatchTST,NLinear,5.139513087909276,4.18736998240153,7.153394356834266,1.1428687317393955,12,1
WTI Oil,Com_CrudeOil,holdout,PatchTST,XGBoost,5.399344528765343,4.441696484883626,7.592660033440909,1.20064720689802,12,1
Brent Oil,Com_BrentCrudeOil,tscv,PatchTST,NLinear,6.686545569352901,5.152816004223293,6.837182201901274,0.23539718210784266,288,24
Brent Oil,Com_BrentCrudeOil,tscv,PatchTST,LightGBM,8.615629647333856,6.474807461102803,8.568326354542982,0.30330982119717276,288,24
Brent Oil,Com_BrentCrudeOil,tscv,PatchTST,-,8.761309692221474,6.827695674366421,8.920800814467283,0.3084384293402274,288,24
Brent Oil,Com_BrentCrudeOil,tscv,PatchTST,XGBoost,9.111884153657089,6.820258339246114,8.983662946957843,0.3207802640716259,288,24
WTI Oil,Com_CrudeOil,tscv,PatchTST,NLinear,5.851592403434126,4.434630672136943,6.125542823019308,0.21064036884256754,288,24
WTI Oil,Com_CrudeOil,tscv,PatchTST,LightGBM,7.357019927153011,5.824303494559394,8.026866613252,0.2648313970276134,288,24
WTI Oil,Com_CrudeOil,tscv,PatchTST,XGBoost,8.013918473812728,6.297289305263096,8.591377941018777,0.28847784104161284,288,24
WTI Oil,Com_CrudeOil,tscv,PatchTST,-,8.649573240973341,7.136706365479363,9.788939290682814,0.311359570557269,288,24
