Target,TargetColumn,EvalSplit,Baseline,ResidualModel,RMSE,MAE,MAPE,NRMSE,NumForecastPoints,NumWindows
Brent Oil,Com_BrentCrudeOil,holdout,PatchTST,XGBoost,1.8021940741550782,1.3468513488769531,2.1886693671728517,0.4095958122440722,12,1
Brent Oil,Com_BrentCrudeOil,holdout,PatchTST,LightGBM,3.3042185581752945,2.680164019266764,4.333917534612979,0.7509702221178693,12,1
Brent Oil,Com_BrentCrudeOil,holdout,PatchTST,NLinear,4.191919143097641,3.6115760803222656,5.833968850577469,0.9527234335644624,12,1
Brent Oil,Com_BrentCrudeOil,holdout,PatchTST,-,10.241378819085492,10.16771380106608,16.267035499916293,2.3276216119338966,12,1
WTI Oil,Com_CrudeOil,holdout,PatchTST,NLinear,2.9967037101609066,2.405963897705078,4.149334344052148,0.666374209005768,12,1
WTI Oil,Com_CrudeOil,holdout,PatchTST,XGBoost,3.1209449424305733,2.4763237635294595,4.262573264188487,0.694001615945894,12,1
WTI Oil,Com_CrudeOil,holdout,PatchTST,LightGBM,3.6073688934808787,2.8805948893229165,4.964721576618974,0.8021672562537919,12,1
WTI Oil,Com_CrudeOil,holdout,PatchTST,-,10.731927227017442,10.679988861083984,18.216619838917136,2.386448647813506,12,1
Brent Oil,Com_BrentCrudeOil,tscv,PatchTST,NLinear,5.833854457944893,4.688307192590502,6.24341993289185,0.20537853006218337,288,24
Brent Oil,Com_BrentCrudeOil,tscv,PatchTST,XGBoost,7.7254531600197875,5.792210208045112,7.439483418809448,0.2719715113750102,288,24
Brent Oil,Com_BrentCrudeOil,tscv,PatchTST,LightGBM,7.992644773620012,6.087852716445923,7.825047802296771,0.28137788605263425,288,24
Brent Oil,Com_BrentCrudeOil,tscv,PatchTST,-,8.873645241116094,7.209821687804328,9.292049629964676,0.3123931577401253,288,24
WTI Oil,Com_CrudeOil,tscv,PatchTST,NLinear,5.7889410820208935,4.6542256938086615,6.546089654558897,0.20838510283271822,288,24
WTI Oil,Com_CrudeOil,tscv,PatchTST,LightGBM,7.292470026436849,5.5763830873701306,7.620893811168019,0.2625077876648656,288,24
WTI Oil,Com_CrudeOil,tscv,PatchTST,XGBoost,8.317843838008912,6.378588517506917,8.707804546126969,0.29941827338910937,288,24
WTI Oil,Com_CrudeOil,tscv,PatchTST,-,10.555964468890252,8.51166013876597,11.291523292756613,0.3799841301166443,288,24
