Experiment,Strategy,Description,Val_RMSE,Test_RMSE,Improves_S2,S2_Val,S2_Test
Exp1: PatchTST+iTransformer,A,WeightedLGBM(l=0.50),1.0936119039505785,1.49205125101377,True,1.0951573340390617,1.4893587820430578
Exp1: PatchTST+iTransformer,B,"Ridge(a=0,l=0.00)",1.0951573340390617,1.4893587820430578,False,1.0951573340390617,1.4893587820430578
Exp1: PatchTST+iTransformer,C,"ElasticNet(a=0.01,l=0.5)",1.0860984677734582,1.507638153314533,True,1.0951573340390617,1.4893587820430578
Exp1: PatchTST+iTransformer,D,"OOF_LGBM(l=0.50,folds=5)",1.093041715263787,1.505113514102589,True,1.0951573340390617,1.4893587820430578
Exp1: PatchTST+iTransformer,E,AugLGBM(l=0.00),1.0951573340390617,1.4893587820430578,False,1.0951573340390617,1.4893587820430578
Exp1: PatchTST+iTransformer,F,"Ensemble(w_ridge=0.0,l=0.00)",1.0951573340390617,1.4893587820430578,False,1.0951573340390617,1.4893587820430578
Exp1: PatchTST+iTransformer,G,RW_Blend(w=0.06),1.0908740815952558,1.436843003693198,True,1.0951573340390617,1.4893587820430578
Exp1: PatchTST+iTransformer,H,AllFeatLGBM(l=0.00),1.0951573340390617,1.4893587820430578,False,1.0951573340390617,1.4893587820430578
Exp2: LSTM+LSTM,A,WeightedLGBM(l=0.00),1.982847669499993,1.2698480673062849,False,1.982847669499993,1.2698480673062849
Exp2: LSTM+LSTM,B,"Ridge(a=0,l=0.00)",1.982847669499993,1.2698480673062849,False,1.982847669499993,1.2698480673062849
Exp2: LSTM+LSTM,C,"ElasticNet(a=0.01,l=0.0)",1.982847669499993,1.2698480673062849,False,1.982847669499993,1.2698480673062849
Exp2: LSTM+LSTM,D,"OOF_LGBM(l=0.00,folds=5)",1.982847669499993,1.2698480673062849,False,1.982847669499993,1.2698480673062849
Exp2: LSTM+LSTM,E,AugLGBM(l=0.00),1.982847669499993,1.2698480673062849,False,1.982847669499993,1.2698480673062849
Exp2: LSTM+LSTM,F,"Ensemble(w_ridge=0.0,l=0.00)",1.982847669499993,1.2698480673062849,False,1.982847669499993,1.2698480673062849
Exp2: LSTM+LSTM,G,RW_Blend(w=0.50),1.7073755691648898,1.0326358823481487,True,1.982847669499993,1.2698480673062849
Exp2: LSTM+LSTM,H,AllFeatLGBM(l=0.00),1.982847669499993,1.2698480673062849,False,1.982847669499993,1.2698480673062849
Exp3: PatchTST+PatchTST,A,WeightedLGBM(l=0.10),1.453013864402758,1.3518471151692548,True,1.456148763967708,1.3482510720281389
Exp3: PatchTST+PatchTST,B,"Ridge(a=500,l=0.10)",1.4452900720408979,1.3692412247011458,True,1.456148763967708,1.3482510720281389
Exp3: PatchTST+PatchTST,C,"ElasticNet(a=0.01,l=0.06)",1.4464377880323074,1.36230529488867,True,1.456148763967708,1.3482510720281389
Exp3: PatchTST+PatchTST,D,"OOF_LGBM(l=0.10,folds=5)",1.453851594487936,1.3512903279687005,True,1.456148763967708,1.3482510720281389
Exp3: PatchTST+PatchTST,E,AugLGBM(l=0.08),1.4537246700989532,1.3560020889345623,True,1.456148763967708,1.3482510720281389
Exp3: PatchTST+PatchTST,F,"Ensemble(w_ridge=1.0,l=0.06)",1.4463626512728203,1.3613596746126373,True,1.456148763967708,1.3482510720281389
Exp3: PatchTST+PatchTST,G,RW_Blend(w=0.30),1.3538193124502507,1.2385246333401898,True,1.456148763967708,1.3482510720281389
Exp3: PatchTST+PatchTST,H,AllFeatLGBM(l=0.12),1.452919073270443,1.3438752580080457,True,1.456148763967708,1.3482510720281389
Exp4: Transformer+Transformer,A,WeightedLGBM(l=0.50),1.477868343233193,1.4511595052220165,True,1.4878221781776857,1.446163114539479
Exp4: Transformer+Transformer,B,"Ridge(a=0,l=0.00)",1.4878221781776857,1.446163114539479,False,1.4878221781776857,1.446163114539479
Exp4: Transformer+Transformer,C,"ElasticNet(a=0.01,l=0.5)",1.4477539518943505,1.4414489929583325,True,1.4878221781776857,1.446163114539479
Exp4: Transformer+Transformer,D,"OOF_LGBM(l=0.50,folds=5)",1.452196255454228,1.4491350848588032,True,1.4878221781776857,1.446163114539479
Exp4: Transformer+Transformer,E,AugLGBM(l=0.50),1.472061062586727,1.455549522843595,True,1.4878221781776857,1.446163114539479
Exp4: Transformer+Transformer,F,"Ensemble(w_ridge=0.0,l=0.50)",1.4868067265374993,1.447082107419172,True,1.4878221781776857,1.446163114539479
Exp4: Transformer+Transformer,G,RW_Blend(w=0.20),1.462185673913227,1.3155188382587368,True,1.4878221781776857,1.446163114539479
Exp4: Transformer+Transformer,H,AllFeatLGBM(l=0.50),1.4680785949244448,1.4180600901069125,True,1.4878221781776857,1.446163114539479
Exp5: PatchTST+NLinear,A,WeightedLGBM(l=0.26),1.4580013103015865,1.6475338708959575,True,1.458938555428696,1.6543826935872024
Exp5: PatchTST+NLinear,B,"Ridge(a=500,l=0.50)",1.4493210654723299,1.635122168435751,True,1.458938555428696,1.6543826935872024
Exp5: PatchTST+NLinear,C,"ElasticNet(a=0.01,l=0.5)",1.4462047858947884,1.6436134719783972,True,1.458938555428696,1.6543826935872024
Exp5: PatchTST+NLinear,D,"OOF_LGBM(l=0.12,folds=5)",1.458785237307048,1.6507073140565933,True,1.458938555428696,1.6543826935872024
Exp5: PatchTST+NLinear,E,AugLGBM(l=0.04),1.4588872014379453,1.6582143673178353,True,1.458938555428696,1.6543826935872024
Exp5: PatchTST+NLinear,F,"Ensemble(w_ridge=0.3,l=0.50)",1.4564359311170192,1.6503199087485794,True,1.458938555428696,1.6543826935872024
Exp5: PatchTST+NLinear,G,RW_Blend(w=0.26),1.3978142318574678,1.429077285108686,True,1.458938555428696,1.6543826935872024
Exp5: PatchTST+NLinear,H,AllFeatLGBM(l=0.50),1.4404556992398114,1.6195084168476654,True,1.458938555428696,1.6543826935872024
