Target,TargetColumn,EvalSplit,Baseline,ResidualModel,RMSE,MAE,MAPE,NRMSE,NumDates
Brent Oil,Com_BrentCrudeOil,tscv,Naive,-,4.531204808641306,3.591176996336996,4.849147379945758,0.0464948777770615,104
Brent Oil,Com_BrentCrudeOil,tscv,PatchTST,NLinear,6.878593466404125,6.037280999697172,8.193317736593537,0.0705815287555833,104
Brent Oil,Com_BrentCrudeOil,tscv,PatchTST,-,8.460175838139323,7.020579448113074,9.09657862185324,0.0868102101270247,104
Brent Oil,Com_BrentCrudeOil,tscv,PatchTST,LightGBM,10.585749348601546,9.316578840598082,12.944705901070982,0.1086208068112948,104
Brent Oil,Com_BrentCrudeOil,tscv,PatchTST,XGBoost,11.36144302789253,9.953217457502316,13.858148564049005,0.116580231364847,104
WTI Oil,Com_CrudeOil,tscv,Naive,-,4.932854626046759,4.0396997680097675,5.744578288365649,0.0492517135872714,104
WTI Oil,Com_CrudeOil,tscv,PatchTST,NLinear,6.611230085648347,5.542900855724628,7.67598331715797,0.0660093263074438,104
WTI Oil,Com_CrudeOil,tscv,PatchTST,LightGBM,9.856702294320929,8.561009089152018,12.552372455892543,0.0984134978865063,104
WTI Oil,Com_CrudeOil,tscv,PatchTST,XGBoost,10.224848215771091,8.8546400926052,12.99619551229936,0.1020892229698779,104
WTI Oil,Com_CrudeOil,tscv,PatchTST,-,10.263917235392617,8.376924637036446,11.164157649708256,0.1024793046386898,104
