Experiment,Base,Residual,Base_Val_RMSE,Base_Test_RMSE,Base_Test_MAE,Base_Test_MAPE(%),S2_Val_RMSE,S2_Test_RMSE,S2_Test_MAE,S2_Test_MAPE(%),Seeds,Epochs,Patience,ElapsedSec,S2_Val_NRMSE(%),S2_Val_R2,S2_Test_NRMSE(%),S2_Test_R2,Base_Val_NRMSE(%),Base_Val_R2,Base_Test_NRMSE(%),Base_Test_R2
Transformer+iTransformer,Transformer,iTransformer,1.4371492013534943,1.521673634439776,1.1228000120617108,1.778319325455424,1.1474733134738104,1.7200488133817793,1.4313568926856632,2.270944525375385,1,60,12,8.640196084976196,1.7353671730804547,0.6114470466048019,2.743573129227314,-0.608303158373732,2.173454944496684,0.3905069720259069,2.4271537310005393,-0.25872078159108214
LSTM+PatchTST,LSTM,PatchTST,2.494933927811029,2.156128697555303,1.8034877801804317,2.9183856436080906,1.2820525020068965,1.350942009930972,1.1449716456095385,1.8223571933858251,1,60,12,5.352904796600342,1.9388963560407986,0.5149610138499174,2.154827333245155,0.007890096272928582,3.7731826845023693,-0.8368898909604616,3.4391446985380534,-1.5271774100523476
PatchTST+iTransformer,PatchTST,iTransformer,1.7301226360047144,1.7510047178830883,1.5430266611008416,2.4684248186859006,1.2847749972573423,1.73482141042982,1.4365699943905783,2.2763925938572434,1,60,12,6.418089151382446,1.9430136882968214,0.5128988230715243,2.7671362397591723,-0.636047534349439,2.616529720274433,0.1166784968897081,2.79294951152529,-0.6667136929027737
PatchTST+Transformer,PatchTST,Transformer,1.7301226360047144,1.7510047178830883,1.5430266611008416,2.4684248186859006,1.3128389677227266,2.070380019943522,1.6334582822527206,2.5890198080129916,1,60,12,11.96066427230835,1.9854558893659608,0.4913864286769317,3.3023708082087904,-1.3301640984228809,2.616529720274433,0.1166784968897081,2.79294951152529,-0.6667136929027737
Transformer+PatchTST,Transformer,PatchTST,1.4371492013534943,1.521673634439776,1.1228000120617108,1.778319325455424,1.33712930904185,1.8775970426782933,1.5622388379778185,2.4726933099449706,1,60,12,9.585646867752075,2.0221910887411125,0.4723914277685982,2.994871281403254,-0.9164220362239797,2.173454944496684,0.3905069720259069,2.4271537310005393,-0.25872078159108214
Transformer+Transformer,Transformer,Transformer,1.4371492013534943,1.521673634439776,1.1228000120617108,1.778319325455424,1.389701224876651,2.14750784073095,1.8321630017961776,2.899365263755991,1,60,12,10.223672866821287,2.101697579998388,0.43008786170364843,3.4253939544020713,-1.5070089662502437,2.173454944496684,0.3905069720259069,2.4271537310005393,-0.25872078159108214
PatchTST+LSTM,PatchTST,LSTM,1.7301226360047144,1.7510047178830883,1.5430266611008416,2.4684248186859006,1.4245022921350583,1.5972894259429105,1.1937362035842192,1.8871513934794055,1,60,12,5.916177034378052,2.1543285466616346,0.4011868470224941,2.5477651067354947,-0.3869270041936501,2.616529720274433,0.1166784968897081,2.79294951152529,-0.6667136929027737
PatchTST+PatchTST,PatchTST,PatchTST,1.7301226360047144,1.7510047178830883,1.5430266611008416,2.4684248186859006,1.5113337558219344,1.5374110204931055,0.9056182962326792,1.4412548139028736,1,60,12,6.062420845031738,2.2856470443585937,0.32595981167957844,2.4522557334345874,-0.2848911878811129,2.616529720274433,0.1166784968897081,2.79294951152529,-0.6667136929027737
PatchTST+NLinear,PatchTST,NLinear,1.7301226360047144,1.7510047178830883,1.5430266611008416,2.4684248186859006,1.5354358410136828,3.2820627415180295,2.697698369198753,4.368434766094559,1,60,12,3.394965887069702,2.322097536891554,0.30428979444663884,5.235071863084594,-4.855717664121107,2.616529720274433,0.1166784968897081,2.79294951152529,-0.6667136929027737
Transformer+LSTM,Transformer,LSTM,1.4371492013534943,1.521673634439776,1.1228000120617108,1.778319325455424,1.6629379096320973,1.3903964868661265,1.0415749120076505,1.6542234621343517,1,60,12,8.319305896759033,2.5149237244657177,0.1839493891830858,2.2177594093030355,-0.050905571329453725,2.173454944496684,0.3905069720259069,2.4271537310005393,-0.25872078159108214
